Name, Link, Price
1 Pair Spring Bars - 22mm,https://www.crownandbuckle.com/spring-bars-22mm.html?srsltid=AfmBOopJ-fi_sSpFwpsD-9YkPvLDZjwOFGY5owCn-aTt37ZjSEfsiyu4,$1.25
3d Printed Bands in TPU/TPE/FLEX FILAMENT (obviously), See #Print-Legion, Covered besides shipping which will be $5-$10
